
CommandType     Name                                               Version
Function        Disable-NetFirewallRule                            2.0.0.0 
Function        Disable-NetIPHttpsProfile                          1.0.0.0 
Function        Disable-NetIPsecMainModeRule                       2.0.0.0 
Function        Disable-NetIPsecRule                               2.0.0.0 
Function        Disable-NetNatTransitionConfiguration              1.0.0.0 
Function        Disable-NetworkSwitchEthernetPort                  1.0.0.0 
Function        Disable-NetworkSwitchFeature                       1.0.0.0 
Function        Disable-NetworkSwitchVlan                          1.0.0.0 
Function        Disable-OdbcPerfCounter                            1.0.0.0 
Function        Disable-PhysicalDiskIdentification                 2.0.0.0 
Function        Disable-PnpDevice                                  1.0.0.0 
Function        Disable-PSTrace                                    7.0.0.0 
Function        Disable-PSTrace                                    1.0.0.0 
Function        Disable-PSWSManCombinedTrace                       7.0.0.0 
Function        Disable-PSWSManCombinedTrace                       1.0.0.0 
Function        Disable-ScheduledTask                              1.0.0.0 
Function        Disable-SmbDelegation                              2.0.0.0 
Function        Disable-StorageBusCache                            1.0.0.0 
Function        Disable-StorageBusDisk                             1.0.0.0 
Function        Disable-StorageDataCollection                      2.0.0.0 
Function        Disable-StorageEnclosureIdentification             2.0.0.0 
Function        Disable-StorageEnclosurePower                      2.0.0.0 
Function        Disable-StorageHighAvailability                    2.0.0.0 
Function        Disable-StorageMaintenanceMode                     2.0.0.0 
Function        Disable-WdacBidTrace                               1.0.0.0 
Function        Disable-WSManTrace                                 7.0.0.0 
Function        Disable-WSManTrace                                 1.0.0.0 
Function        Disconnect-IscsiTarget                             1.0.0.0 
Function        Disconnect-VirtualDisk                             2.0.0.0 
Function        Dismount-DiskImage                                 2.0.0.0 
Function        E:                                                         
Function        Enable-BCDistributed                               1.0.0.0 
Function        Enable-BCDowngrading                               1.0.0.0 
Function        Enable-BCHostedClient                              1.0.0.0 
Function        Enable-BCHostedServer                              1.0.0.0 
Function        Enable-BCLocal                                     1.0.0.0 
Function        Enable-BCServeOnBattery                            1.0.0.0 
Function        Enable-BitLocker                                   1.0.0.0 
Function        Enable-BitLockerAutoUnlock                         1.0.0.0 
Function        Enable-DAManualEntryPointSelection                 1.0.0.0 
Function        Enable-DeliveryOptimizationVerboseLogs             1.0.3.0 
Function        Enable-DscDebug                                    1.1     
Function        Enable-MMAgent                                     1.0     
Function        Enable-NetAdapter                                  2.0.0.0 
Function        Enable-NetAdapterBinding                           2.0.0.0 
Function        Enable-NetAdapterChecksumOffload                   2.0.0.0 
Function        Enable-NetAdapterEncapsulatedPacketTaskOffload     2.0.0.0 
Function        Enable-NetAdapterIPsecOffload                      2.0.0.0 
Function        Enable-NetAdapterLso                               2.0.0.0 
Function        Enable-NetAdapterPacketDirect                      2.0.0.0 
Function        Enable-NetAdapterPowerManagement                   2.0.0.0 
Function        Enable-NetAdapterQos                               2.0.0.0 
Function        Enable-NetAdapterRdma                              2.0.0.0 
Function        Enable-NetAdapterRsc                               2.0.0.0 
Function        Enable-NetAdapterRss                               2.0.0.0 
Function        Enable-NetAdapterSriov                             2.0.0.0 
Function        Enable-NetAdapterUro                               2.0.0.0 
Function        Enable-NetAdapterUso                               2.0.0.0 
Function        Enable-NetAdapterVmq                               2.0.0.0 
Function        Enable-NetDnsTransitionConfiguration               1.0.0.0 
Function        Enable-NetFirewallHyperVRule                       2.0.0.0 
